lmax,ice_length_scale,ice_gmsl_target_std,net_ice_thickness_change,slc_mean,slc_std,ssh_mean,ssh_std,variance_ratio,mean_errors,standardized_errors,w2_distances,kl_divergences
84,955200.0000000001,0.002,-66.66666666666666,16947.80953344676,3.5696883019208914e-06,-11819.604640363143,1.435606020306874e-06,0.16173721095641355,-28767.414173809906,-7476814052.394058,28767.414173809906,2.0077106126926017e+20
84,955200.0000000001,0.002,66.66666666666669,-16947.809533446703,3.5696883019208914e-06,11819.604640362997,1.435606020306874e-06,0.16173721095641355,28767.414173809702,7476814052.394006,28767.414173809702,2.0077106126925732e+20
84,955200.0000000001,0.002,200.0,-50843.42860033899,3.5696883019207614e-06,35458.81392108931,1.4356060203042833e-06,0.1617372109558416,86302.2425214283,22430442157.18815,86302.2425214283,1.8069395514298034e+21
84,955200.0000000001,0.2515,-200.0,50843.42860033888,0.00044888830396651585,-35458.81392108873,0.00018052745705350254,0.16173721095628404,-86302.2425214276,-178373297.47264168,86302.2425214276,1.1426879210937107e+17
84,955200.0000000001,0.2515,-66.66666666666666,16947.80953344676,0.0004488883039665635,-11819.604640363143,0.00018052745705358494,0.16173721095639731,-28767.414173809906,-59457765.824206136,28767.41417380991,1.2696532456585824e+16
84,955200.0000000001,0.2515,66.66666666666669,-16947.809533446645,0.0004488883039665432,11819.604640362852,0.0001805274570532597,0.16173721095582916,28767.4141738095,59457765.82422251,28767.414173809502,1.2696532456631212e+16
84,955200.0000000001,0.2515,200.0,-50843.428600339226,0.0004488883039665635,35458.81392108931,0.00018052745705358494,0.16173721095639731,86302.24252142853,178373297.47261596,86302.24252142853,1.1426879210926923e+17
84,955200.0000000001,0.501,-200.0,50843.428600339226,0.0008942069196312075,-35458.81392108931,0.0003596193080868739,0.1617372109564066,-86302.24252142853,-89542683.26220092,86302.24252142853,2.8795734701029424e+16
84,955200.0000000001,0.501,-66.66666666666666,16947.80953344676,0.0008942069196312075,-11819.604640363143,0.0003596193080868739,0.1617372109564066,-28767.414173809906,-29847561.087400716,28767.41417380991,3199526077892248.0
84,955200.0000000001,0.501,66.66666666666669,-16947.809533446703,0.0008942069196310729,11819.604640363026,0.00035961930808681505,0.1617372109564023,28767.41417380973,29847561.08740508,28767.414173809735,3199526077893256.5
84,955200.0000000001,0.501,200.0,-50843.428600339226,0.0008942069196312075,35458.81392108931,0.0003596193080868739,0.1617372109564066,86302.24252142853,89542683.26220092,86302.24252142853,2.8795734701029424e+16
84,955200.0000000001,0.7505,-200.0,50843.428600339226,0.0013395255352958014,-35458.81392108931,0.0005387111591201453,0.16173721095641122,-86302.24252142853,-59774662.64405626,86302.24252142853,1.2832232574585476e+16
