true_mean,true_std,est_mean,est_std,error_mean,error_std,ice_length_scale,ice_gmsl_target_std,net_ice_thickness_change,odt_length_scale,odt_standard_deviation,odt_standard_deviation_factor,altimetry_error_length_scale,altimetry_error_amplitude,altimetry_error_amplitude_factor,altimetry_range
0.0,0.0004995441270888469,0.0,0.0005019409552814493,0.0,0.000708158921074791,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,5e-06,0.01,55
0.0,0.0004995441270888469,0.0,0.0005036875082867697,0.0,0.0007093979425633351,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,5e-06,0.01,50
0.0,0.0004995441270888469,0.0,0.0004839887703310426,0.0,0.0006955497571816934,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,1.5811388300841898e-05,0.03162277660168379,90
0.0,0.0004995441270888469,0.0,0.0004842394834611355,0.0,0.0006957242357800002,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,1.5811388300841898e-05,0.03162277660168379,85
0.0,0.0004995441270888421,0.0,0.00048544296872017677,0.0,0.000696562424186671,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,1.5811388300841898e-05,0.03162277660168379,80
0.0,0.0004995441270888469,0.0,0.00048751402331711385,0.0,0.0006980073479841008,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,1.5811388300841898e-05,0.03162277660168379,75
0.0,0.0004995441270888421,0.0,0.0004906237104613595,0.0,0.0007001828048273002,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,1.5811388300841898e-05,0.03162277660168379,70
0.0,0.0004995441270888454,0.0,0.0004938676342672368,0.0,0.0007024596608245015,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,1.5811388300841898e-05,0.03162277660168379,66
0.0,0.0004995441270888469,0.0,0.0004990120583938805,0.0,0.0007060859503852599,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,1.5811388300841898e-05,0.03162277660168379,60
0.0,0.0004995441270888469,0.0,0.0005019478748222028,0.0,0.000708163825641697,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,1.5811388300841898e-05,0.03162277660168379,55
0.0,0.0004995441270888469,0.0,0.0005036947191935896,0.0,0.000709403062477508,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,1.5811388300841898e-05,0.03162277660168379,50
0.0,0.0004995441270888469,0.0,0.0004840518139551355,0.0,0.0006955936266975246,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,5e-05,0.1,90
0.0,0.0004995441270888469,0.0,0.0004843026074408268,0.0,0.0006957681729447975,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,5e-05,0.1,85
0.0,0.0004995441270888469,0.0,0.0004855063732513342,0.0,0.0006966066130727025,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,5e-05,0.1,80
0.0,0.0004995441270888469,0.0,0.0004875780263855313,0.0,0.0006980520515856736,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,5e-05,0.1,75
0.0,0.0004995441270888469,0.0,0.0004906885736024677,0.0,0.0007002282564799727,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,5e-05,0.1,70
0.0,0.0004995441270888469,0.0,0.0004939329873429518,0.0,0.00070250560915518,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,5e-05,0.1,66
0.0,0.0004995441270888421,0.0,0.0004990789483099254,0.0,0.000706133225075194,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,5e-05,0.1,60
0.0,0.0004995441270888469,0.0,0.0005020170649840947,0.0,0.0007082128694426576,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,5e-05,0.1,55
0.0,0.0004995441270888469,0.0,0.0005037668225848669,0.0,0.0007094542595870511,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,5e-05,0.1,50
0.0,0.0004995441270888469,0.0,0.0004846817991840427,0.0,0.0006960321697804195,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.00015811388300841897,0.31622776601683794,90
0.0,0.0004995441270888469,0.0,0.00048493339530985684,0.0,0.0006962073920863696,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.00015811388300841897,0.31622776601683794,85
0.0,0.0004995441270888469,0.0,0.0004861399637405232,0.0,0.0006970483478601719,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.00015811388300841897,0.31622776601683794,80
0.0,0.0004995441270888454,0.0,0.00048821759559161204,0.0,0.000698498930245574,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.00015811388300841897,0.31622776601683794,75
0.0,0.0004995441270888469,0.0,0.0004913367340588609,0.0,0.0007006826108478687,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.00015811388300841897,0.31622776601683794,70
0.0,0.0004995441270888469,0.0,0.0004945860431450184,0.0,0.0007029649272778864,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.00015811388300841897,0.31622776601683794,66
0.0,0.0004995441270888469,0.0,0.000499747355053714,0.0,0.0007066057980176365,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.00015811388300841897,0.31622776601683794,60
0.0,0.0004995441270888421,0.0,0.0005027084428397819,0.0,0.0007087031207856725,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.00015811388300841897,0.31622776601683794,55
0.0,0.0004995441270888421,0.0,0.000504487289705829,0.0,0.0007099660276264537,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.00015811388300841897,0.31622776601683794,50
0.0,0.0004995441270888469,0.0,0.0004909371906165973,0.0,0.0007004024985959681,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.0005,1.0,90
0.0,0.0004995441270888469,0.0,0.0004911967233343221,0.0,0.0007005844388247092,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.0005,1.0,85
0.0,0.0004995441270888469,0.0,0.0004924310338772028,0.0,0.0007014503959898583,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.0005,1.0,80
0.0,0.0004995441270888469,0.0,0.0004945678001628393,0.0,0.0007029520921562636,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.0005,1.0,75
0.0,0.0004995441270888469,0.0,0.000497771921618387,0.0,0.0007052100544239422,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.0005,1.0,70
0.0,0.0004995441270888421,0.0,0.0005010697905052249,0.0,0.0007075417089231584,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.0005,1.0,66
0.0,0.0004995441270888421,0.0,0.0005063828998425939,0.0,0.0007113142597768921,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.0005,1.0,60
0.0,0.0004995441270888469,0.0,0.0005095706311929007,0.0,0.0007135871096672705,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.0005,1.0,55
0.0,0.0004995441270888421,0.0,0.0005116361645242627,0.0,0.0007150635634389797,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.0005,1.0,50
0.0,0.0004995441270888469,0.0,0.0005495890390400123,0.0,0.000742692700073107,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.0015811388300841897,3.1622776601683795,90
0.0,0.0004995441270888454,0.0,0.0005499204054139338,0.0,0.0007429379430339938,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.0015811388300841897,3.1622776601683795,85
0.0,0.0004995441270888469,0.0,0.0005514081164824346,0.0,0.0007440398146817577,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.0015811388300841897,3.1622776601683795,80
0.0,0.0004995441270888469,0.0,0.0005540813948187341,0.0,0.0007460231410574554,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.0015811388300841897,3.1622776601683795,75
0.0,0.0004995441270888469,0.0,0.0005580572399960435,0.0,0.000748980786149391,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.0015811388300841897,3.1622776601683795,70
0.0,0.0004995441270888469,0.0,0.0005618066783051961,0.0,0.0007517786101621115,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.0015811388300841897,3.1622776601683795,66
0.0,0.0004995441270888469,0.0,0.000568494384274562,0.0,0.0007567894025821659,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.0015811388300841897,3.1622776601683795,60
0.0,0.0004995441270888469,0.0,0.0005736956727162056,0.0,0.0007607043182487252,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.0015811388300841897,3.1622776601683795,55
0.0,0.0004995441270888469,0.0,0.0005782844962409984,0.0,0.0007641709844672613,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.0015811388300841897,3.1622776601683795,50
0.0,0.0004995441270888469,0.0,0.0009551628022785023,0.0,0.001077905521725109,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.005,10.0,90
0.0,0.0004995441270888469,0.0,0.0009559261294958683,0.0,0.001078581985739568,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,0.005,10.0,85
