length_scale,satellite_range,error,true_mean,estimate,num_error
0.1,20.78,99.45302683751434,-2.3245658379908953e-13,-1.2714751278120454e-15,2.311851086712775e-13
0.005,70.22,99.1734487534354,-2.8219263439897096e-13,-5.620528020606038e-13,-2.798601676616328e-13
0.005,70.22,98.92105705858134,-1.3592128628178833e-13,-1.4665131242228159e-15,1.3445477315756553e-13
0.005,60.33,98.77914303717428,-2.6820630416886777e-13,-3.274415339183171e-15,2.649318888296846e-13
0.1,10.89,98.03547499631452,-2.3245658379908953e-13,-4.5666677114462275e-15,2.278899160876433e-13
0.005,1.0,97.79445346489335,3.236027227602216e-13,7.137208639348817e-15,-3.164655141208728e-13
0.1,80.11,97.78330777163107,3.549925333464493e-13,7.86909189798075e-15,-3.4712344144846855e-13
0.005,50.44,97.24460134820667,-2.586797527155791e-13,-7.127658418787413e-15,2.515520942967917e-13
0.1,90.0,96.62113480163181,3.549925333464493e-13,1.1994719166048768e-14,-3.4299781418040055e-13
0.1,50.44,96.35504163931888,-3.809759972196965e-13,-7.480655779765453e-13,-3.6708958075684886e-13
0.1,30.67,95.99709755220756,3.549925333464493e-13,1.4210004806805416e-14,-3.407825285396439e-13
0.005,50.44,95.36796165178167,4.4999232881401405e-13,8.791408403933223e-13,4.2914851157930824e-13
0.005,30.67,95.11557249813224,-6.774587530284787e-13,-3.308998164673352e-14,6.443687713817452e-13
0.005,90.0,94.97901444225698,-2.6820630416886777e-13,-1.3466599797275183e-14,2.547397043715926e-13
0.005,50.44,94.34767907273068,-5.641731914066118e-13,-1.0964575034493045e-12,-5.322843120426927e-13
